ID_Pelanggan,Gender,Usia,Pendapatan_Tahunan_Ribuan_USD,Pengeluaran_USD,Cluster
1,Pria,19,15,39,3
2,Pria,21,15,81,3
3,Wanita,20,16,6,3
4,Wanita,23,16,77,3
5,Wanita,31,17,40,3
6,Wanita,22,17,76,3
7,Wanita,35,18,6,0
8,Wanita,23,18,94,3
9,Pria,64,19,3,1
10,Wanita,30,19,72,3
11,Pria,67,19,14,1
12,Wanita,35,19,99,3
13,Wanita,58,20,15,1
14,Wanita,24,20,77,3
15,Pria,37,20,13,0
16,Pria,22,20,79,3
17,Wanita,35,21,35,0
18,Pria,20,21,66,3
19,Pria,52,23,29,0
20,Wanita,35,23,98,3
21,Pria,35,24,35,0
22,Pria,25,24,73,3
23,Wanita,46,25,5,0
24,Pria,31,25,73,3
25,Wanita,54,28,14,0
26,Pria,29,28,82,3
27,Wanita,45,28,32,0
28,Pria,35,28,61,3
29,Wanita,40,29,31,0
30,Wanita,23,29,87,3
31,Pria,60,30,4,1
32,Wanita,21,30,73,3
33,Pria,53,33,4,0
34,Pria,18,33,92,3
35,Wanita,49,33,14,0
36,Wanita,21,33,81,3
37,Wanita,42,34,17,0
38,Wanita,30,34,73,3
39,Wanita,36,37,26,0
40,Wanita,20,37,75,3
41,Wanita,65,38,35,1
42,Pria,24,38,92,3
43,Pria,48,39,36,0
44,Wanita,31,39,61,3
45,Wanita,49,39,28,0
46,Wanita,24,39,65,3
47,Wanita,50,40,55,0
48,Wanita,27,40,47,3
49,Wanita,29,40,42,3
50,Wanita,31,40,42,3
51,Wanita,49,42,52,0
52,Pria,33,42,60,3
53,Wanita,31,43,54,3
54,Pria,59,43,60,1
55,Wanita,50,43,45,0
56,Pria,47,43,41,0
57,Wanita,51,44,50,0
58,Pria,69,44,46,1
59,Wanita,27,46,51,3
60,Pria,53,46,46,0
61,Pria,70,46,56,1
62,Pria,19,46,55,3
63,Wanita,67,47,52,1
64,Wanita,54,47,59,1
65,Pria,63,48,51,1
66,Pria,18,48,59,3
67,Wanita,43,48,50,0
68,Wanita,68,48,48,1
69,Pria,19,48,59,3
70,Wanita,32,48,47,3
71,Pria,70,49,55,1
72,Wanita,47,49,42,0
73,Wanita,60,50,49,1
74,Wanita,60,50,56,1
75,Pria,59,54,47,1
76,Pria,26,54,54,3
77,Wanita,45,54,53,0
78,Pria,40,54,48,0
79,Wanita,23,54,52,3
80,Wanita,49,54,42,0
81,Pria,57,54,51,1
82,Pria,38,54,55,0
83,Pria,67,54,41,1
