Iterasi,Perubahan_Membership,Objective_FCM
1,1.6863820379576906,0.8238169413245908
2,1.5320283707258346,0.5957135906588736
3,1.1065704101807716,0.4433885210280201
4,0.8808479832029604,0.3772392789668779
5,0.4471094824841243,0.35412858414381954
6,0.4794443749941368,0.33824654159678874
7,0.4018661461922341,0.31966371393560256
8,0.3538582956785067,0.3061834620941119
9,0.35063580011735124,0.29576131893729
10,0.34860350488209035,0.2860087496838066
11,0.35046731053834385,0.27629709056764556
12,0.3335722748675236,0.2663884159776865
13,0.22040796563459625,0.26027141001364723
14,0.09574707194735294,0.25868728515604034
15,0.03685344067120365,0.2584278302013975
16,0.015923632897587418,0.2583784519033397
17,0.00819551835932975,0.2583653295082096
18,0.004673467573644332,0.258361073410827
